,div,p
101,"ecovadis sustainability RatingIOI through IOI Oleochemical participated in EcoVadis sustainability assessment, which is a platform for trading partners to share sustainability performance. IOI achieved a silver rating in the assessment and was categorised within 90 th percentile among participated companies.","['IOI through IOI Oleochemical participated in EcoVadis sustainability assessment, which is a platform for trading partners to share sustainability performance. IOI achieved a silver rating in the assessment and was categorised within 90 th percentile among participated companies.']"
102,"carbon disclosure ProjectIOI has been disclosing its forest, water, and climate change performance of its Oleochemical units through Carbon Disclosure Project (""CDP"") since 2018. Starting from 2020, IOI has included data and information of all the operating units to the assessment. For the current reporting period, IOI scored B-for Forest, C for Water, and D for Climate change.quote by Dr Surina Ismail on CDP is available at https://www.linkedin.com/company/cdp-worldwide","['IOI has been disclosing its forest, water, and climate change performance of its Oleochemical units through Carbon Disclosure Project (""CDP"") since 2018. Starting from 2020, IOI has included data and information of all the operating units to the assessment. For the current reporting period, IOI scored B-for Forest, C for Water, and D for Climate change.', 'quote by Dr Surina Ismail on CDP is available at https://www.linkedin.com/company/cdp-worldwide']"
103,"manaGement aPPRoacHIn IOI, good governance enables us to operate more efficiently, mitigate risks and safeguard our stakeholders' interests. We are more accountable and transparent to investors which improves our access capital. We achieve this state by committing to work with integrity and to uphold the highest standard of work ethics in line with our Code of Business Conduct and Ethics (""The Code"").The Code provides guidance on the standards of behaviour expected of all employees of IOI Group, whereas the supplementary Code of Ethics for Directors is formulated for new on-boarding and existing directors. All new employees are communicated on The Code during their on-boarding training and The Code is available both in the employee's domain and at each operational unit.Where corruption is concerned, IOI solidifies our zero-tolerance approach towards corruption in any form by outlining them clearly in the Group's Business Ethics, Compliance, Anti-Corruption and Anti-Money Laundering Policy 1 . Topics covered in this policy includes our stance against kickbacks, gifts, hospitality and entertainment, protection money and political contribution.The policy which was published in 2018, is publicly available in our website and is communicated to all our employees through training/on-boarding sessions.oUR PeRFoRmance","['In IOI, good governance enables us to operate more efficiently, mitigate risks and safeguard our stakeholders\' interests. We are more accountable and transparent to investors which improves our access capital. We achieve this state by committing to work with integrity and to uphold the highest standard of work ethics in line with our Code of Business Conduct and Ethics (""The Code"").', ""The Code provides guidance on the standards of behaviour expected of all employees of IOI Group, whereas the supplementary Code of Ethics for Directors is formulated for new on-boarding and existing directors. All new employees are communicated on The Code during their on-boarding training and The Code is available both in the employee's domain and at each operational unit."", ""Where corruption is concerned, IOI solidifies our zero-tolerance approach towards corruption in any form by outlining them clearly in the Group's Business Ethics, Compliance, Anti-Corruption and Anti-Money Laundering Policy 1 . Topics covered in this policy includes our stance against kickbacks, gifts, hospitality and entertainment, protection money and political contribution."", 'The policy which was published in 2018, is publicly available in our website and is communicated to all our employees through training/on-boarding sessions.', 'oUR PeRFoRmance']"
104,ResPonsIble bUsInessAnti-Corruption Training at IOI Hq for the employees,['Anti-Corruption Training at IOI Hq for the employees']
105,"Risk managementIOI maintains a platform for all stakeholders to provide their feedback and communicate their concerns over any of our operational impacts, areas that may require improvement or possibility of misalignment to our policy and best practices. Aside from the grievance procedure that has been described on page 34, IOI has an established whistleblowing approach to resolve both internal and external stakeholder concerns. Any case submitted through these channels will be processed transparently with the involvement of affected stakeholders. IOI also commits to safeguard all stakeholders involved in the grievance process against potential threats, intimidation, violence, or reprisals throughout the process.To effectively manage all of our sustainability and operational risks, the Group coordinates risks and audit oversight through the Enterprise Risk Management (""ERM"") framework which is maintained by the Board-level Audit and Risk Management Committee (""ARMC""). The sustainability risks that concern our operations include human rights, local community grievances, occupational health and safety, fire management, deforestation, climate change, biodiversity, and peatland protection. These risks are managed at the business unit level and are guided by approved guidelines and SOP.","['IOI maintains a platform for all stakeholders to provide their feedback and communicate their concerns over any of our operational impacts, areas that may require improvement or possibility of misalignment to our policy and best practices. Aside from the grievance procedure that has been described on page 34, IOI has an established whistleblowing approach to resolve both internal and external stakeholder concerns. Any case submitted through these channels will be processed transparently with the involvement of affected stakeholders. IOI also commits to safeguard all stakeholders involved in the grievance process against potential threats, intimidation, violence, or reprisals throughout the process.', 'To effectively manage all of our sustainability and operational risks, the Group coordinates risks and audit oversight through the Enterprise Risk Management (""ERM"") framework which is maintained by the Board-level Audit and Risk Management Committee (""ARMC""). The sustainability risks that concern our operations include human rights, local community grievances, occupational health and safety, fire management, deforestation, climate change, biodiversity, and peatland protection. These risks are managed at the business unit level and are guided by approved guidelines and SOP.']"
106,"Regulatory complianceThe Group ensures consistency in delivering our obligations through the adoption of best practices as outlined by the regulatory bodies and agencies. In addition, we engage with various stakeholders that includes government departments and agencies, to obtain insights and guidance, create ongoing dialogues, and to improve transparency and accountability. Such engagements and collaborations are in the form of technical workshops and roundtables covering topics such as peat, GHG emissions, labour, human rights, FPIC, traceability and certification requirements, training of staff on human-wildlife conflict, efforts on fire prevention and mitigation, and many more.For this reporting period, IOI continues to be actively involved in the MSPO certification standards improvement process by participating in the standards review working groups initiated by the Malaysian Palm Oil Certification Council (""MPOCC""). Involvement in the MSPO standards review process is important for IOI as it is a mandatory certification scheme by the Malaysian government.The review process involves strengthening the current requirements and ensuring that the requirements is on par with the industry standards. The review process started in September 2019 and is scheduled to be completed in 2020.","['The Group ensures consistency in delivering our obligations through the adoption of best practices as outlined by the regulatory bodies and agencies. In addition, we engage with various stakeholders that includes government departments and agencies, to obtain insights and guidance, create ongoing dialogues, and to improve transparency and accountability. Such engagements and collaborations are in the form of technical workshops and roundtables covering topics such as peat, GHG emissions, labour, human rights, FPIC, traceability and certification requirements, training of staff on human-wildlife conflict, efforts on fire prevention and mitigation, and many more.', 'For this reporting period, IOI continues to be actively involved in the MSPO certification standards improvement process by participating in the standards review working groups initiated by the Malaysian Palm Oil Certification Council (""MPOCC""). Involvement in the MSPO standards review process is important for IOI as it is a mandatory certification scheme by the Malaysian government.', 'The review process involves strengthening the current requirements and ensuring that the requirements is on par with the industry standards. The review process started in September 2019 and is scheduled to be completed in 2020.']"
107,"training on social Impact assessmentRecognising the importance of maintaining a good and cordial relationship with local communities, a training on Social Impact Assessment (""SIA"") was conducted at PT SKS in July 2019 with the participation of all employees in-charge of community engagement. The training was conducted to equip the trainees with the knowledge to identify potential social issues and how to handle the potential social impacts arising from the company's operations.In addition, the participants were also trained on the principles of FPIC as a fundamental process especially pertaining to starting any development that may affect them or their surrounding by having them have their say to give or withhold consent to the development. ","['Recognising the importance of maintaining a good and cordial relationship with local communities, a training on Social Impact Assessment (""SIA"") was conducted at PT SKS in July 2019 with the participation of all employees in-charge of community engagement. The training was conducted to equip the trainees with the knowledge to identify potential social issues and how to handle the potential social impacts arising from the company\'s operations.', 'In addition, the participants were also trained on the principles of FPIC as a fundamental process especially pertaining to starting any development that may affect them or their surrounding by having them have their say to give or withhold consent to the development. ']"
108,"training on business ethics, compliance, anti-corruption and anti-money laundering PolicyIn September 2019, IOI revised this policy and provided awareness training on the updated policy to the Board of Directors and senior management team and subsequently to all the employees. The purpose of these trainings was to promote better awareness about corporate governance and to ensure employees understand the significance of the updated policy.The trainings was also to make sure that operating units will have the relevant process and procedures to prevent potential violation of the policy within or even outside of the organisation. The training also covered penalties and defences, adequate procedures, case studies, challenges as well as the steps that should be put in place internally to minimise the risk of corruption.There was no corruption case reported within IOI in the current reporting cycle. ","['In September 2019, IOI revised this policy and provided awareness training on the updated policy to the Board of Directors and senior management team and subsequently to all the employees. The purpose of these trainings was to promote better awareness about corporate governance and to ensure employees understand the significance of the updated policy.', 'The trainings was also to make sure that operating units will have the relevant process and procedures to prevent potential violation of the policy within or even outside of the organisation. The training also covered penalties and defences, adequate procedures, case studies, challenges as well as the steps that should be put in place internally to minimise the risk of corruption.', 'There was no corruption case reported within IOI in the current reporting cycle. ']"
109,"
note:1 An individual who performs work for entity which provide services to IOI
IoI corporation divisionHealth and safety Performance -employee 
GlossaRY biological oxygen demand (""bod"")Biochemical oxygen demand is the amount of dissolved oxygen needed by aerobic biological organisms to break down organic material present in a given water sample at certain temperature over a specific time period.
carbon dioxide equivalents (""co 2 -e"")CO 2 -e is a measure used to compare the emissions from various greenhouse gases based upon their global warming potential.carbon disclosure Project (""cdP"") The CDP is an organisation based in the United Kingdom which supports companies and cities to disclose the environmental impact of major corporations.
chemical oxygen demand (""cod"")Chemical oxygen demand is an indicative measure of the amount of oxygen that can be consumed by reactions in a measured solution. It is commonly expressed in mass of oxygen consumed over volume of solution which in SI units is milligrams per litre (mg/L).
climate change action (""cca"") InitiativesIOI's Climate Change Action (""CCA"") Initiative is IOI's long-term action-plans to mitigate and reduce GHG emissions from our diverse operations. The ultimate aim of this initiative is to achieve carbon neutral as a group.crude Palm oil (""cPo"") First stage palm oil product produced from fresh fruit bunches (""FFB"") at a mill.
dow Jones sustainability Indices (""dJsI"") assessmentThe Dow Jones Sustainability Indices (DJSI) launched in 1999, are a family of indices evaluating the sustainability performance of thousands of companies trading publicly, operated under a strategic partnership between S&P Dow Jones Indices and RobecoSAM (Sustainable Asset Management) of the S&P Dow Jones Indices. The DJSI is based on an analysis of corporate economic, environmental and social performance, assessing issues such as corporate governance, risk management, branding, climate change mitigation, supply chain standards and labour practices.empty Fruit bunches (""eFb"") Remains of the fresh fruit bunches after the fruit has been removed for oil pressing.
Free, Prior and Informed consent (""FPIc"") principleFree, Prior and Informed Consent (FPIC) is a specific right that pertains to indigenous peoples and is recognised in the United Nations Declaration on the Rights of Indigenous Peoples (UNDRIP). It allows them to give or withhold consent to a project that may affect them or their territories.Fresh Fruit bunches (""FFb"") Bunches harvested from the oil palm tree.
Genetically Modified Organism (""Gmo"")A genetically modified organism is any organism whose genetic material has been altered using genetic engineering techniques.
Global Forest Watch (""GFW"")GFW is an interactive online forest monitoring and alert system designed to empower people everywhere with the information they need to better manage and conserve forest landscapes.
Global Reporting Initiative (""GRI"")GRI is an international independent organisation that helps businesses, governments and other organisations understand and communicate the impact of business on critical sustainability issues such as climate change, human rights, corruption and many others.
High carbon stock approach (""Hcsa"")The HCS Approach is a methodology that distinguishes forest areas for protection from degraded lands with low carbon and biodiversity values that may be developed. The methodology was developed with the aim to ensure a practical, transparent, robust, and scientifically credible approach that is widely accepted to implement commitments to halt deforestation in the tropics, while ensuring the rights and livelihoods of local peoples are respected.
High conservation values (""Hcv"")As defined by the HCV Resource Network, HCVs are biological, ecological, social or cultural values which are outstandingly significant or critically important at the national, regional or global level.
Integrated Pest management (""IPm"")IPM is the careful consideration of all available pest control techniques and subsequent integration of appropriate measures that discourage the development of pest populations and keep pesticides and other interventions to levels that are economically justified and reduce or minimise risks to human health and the environment. IPM emphasises the growth of a healthy crop with the least possible disruption to agro-ecosystems and encourages natural pest control mechanisms.
Intergovernmental Panel on climate change's (""IPcc"")The Intergovernmental Panel on Climate Change (IPCC) is an intergovernmental body of the United Nations that is dedicated to providing the world with objective, scientific information relevant to understanding the scientific basis of the risk of human-induced climate change, its natural, political, and economic impacts and risks, and possible response options.
International labor organisation (""Ilo"")ILO is the United Nations agency for the world of work. It sets international Labour standards, promotes rights at work and encourages decent employment opportunities, the enhancement of social protection and the strengthening of dialogue on work-related issues.
International sustainability & Carbon Certification (""ISCC"")ISCC is an independent multi-stakeholder organisation providing a globally applicable certification system for the sustainability of raw materials and products.
malaysian Palm oil board (""mPob"")The Malaysian Palm Oil Board is a government agency responsible for the promotion and development of the palm oil industry in Malaysia.
Malaysian Palm Oil Certificate (""msPo"")The MSPO Certification Scheme is the national scheme in Malaysia for oil palm plantations, independent and organised smallholdings, and palm oil processing facilities to be certified against the requirements of the MSPO Standards.
Malaysian Palm Oil Certification council (""mPocc"")Malaysian Palm Oil Certification Council (MPOCC) is an independent non-profit organisation established in December 2014 to develop and operate the Malaysian Sustainable Palm Oil (MSPO) Certification Scheme.
movement control order (""mco"")The MCO is a cordon sanitaire implemented as a preventive measure by the federal government of Malaysia in response to the COVID-19 pandemic in the country on 18 March 2020. The order was commonly referred to in local and international media as a ""lockdown"" or ""partial lockdown. ""
national council for occupational safety and Health (""ncosH"")The National Council of Occupational Safety and Health (NCOSH) is the highest forum in the Ministry of Human Resources where tripartite discussions are held about issues related to the direction, national policy and the implementation of occupational safety and health in Malaysia.national Union of Plantation Workers (""nUPW"")The National Union of Plantation Workers (NUPW) is the largest union in Malaysia and one of the largest in Asia.
non-Governmental organisation (""nGo"")NGO is used in this report to refer to grassroots and campaigning organisations focused on environmental or social issues.
oleochemicalA chemical compound derived industrially from animal or vegetable oils or fats.
Palm kernel (""Pk"")PK is the seed of any palm that yields palm-kernel oil.
Palm kernel oil (""Pko"")PKO is a plant oil derived from the kernel of the oil palm.
APPENDIXPalm Oil Mill effluents (""POME"") Palm oil mill effluent (POME) is a wastewater generated from palm oil milling activities which requires effective treatment before discharge into watercourses due to its highly polluting properties.
PeatAn accumulation of partially decayed vegetation matter. Peat forms in wetlands or peat lands, variously called bogs, moors, muskegs, pocosins, mires, and peat swamp forests.
Reverse osmosis (""Ro"")Reverse osmosis is a water purification process that uses a partially permeable membrane to remove ions, unwanted molecules and larger particles from drinking water.
Roundtable on sustainable Palm oil (""RsPo"")A multi-stakeholder organisation based in Kuala Lumpur, Malaysia. The organisation has developed a certification scheme for sustainable palm oil.
Roundtable on sustainable Palm oil mass balance (""RsPomb"")Sustainable palm oil from certified sources is mixed with ordinary palm oil throughout supply chain.
Roundtable on sustainable Palm oil segregated (""RsPosg"")Sustainable palm oil from different certified sources is kept separate from ordinary palm oil throughout supply chain.
RsPo annual communication of Progress (""acoP"")The ACOPs are reports submitted by RSPO members to gauge their progress towards 100% RSPO-certified sustainable palm oil. These reports are mandatory for Ordinary and Affiliate members, and are submitted each year.
scope 1 emissionsAll direct GHGs emissions.scope 2 emissions Indirect GHGs emissions for consumption of purchased electricity, heat or steam.
sustainability advisory Panel (""saP"")The IOI Sustainability Advisory Panel (""SAP"") was formed in January 2017 and tasked with overseeing the application of IOI Group's Sustainability Implementation Plan (""SIP""). The SAP also advises on sustainability issues raised by multi-stakeholders including NGOs and the RSPO.sustainability Implementation Plan (""sIP"") IOI's SIP serves as a practical working document that puts into practice the goals and commitments stated in the IOI Sustainable Palm Oil Policy.
sustainability Policy transparency toolkit (""sPott"")SPOTT is an online platform supporting sustainable commodity production and trade. By tracking transparency, SPOTT incentivises the implementation of corporate best practice.
sustainability steering committee (""ssc"")The SSC, chaired by the GMD, heads of the operating divisions, Group Head of Sustainability and senior management from group support functions. The SSC assures that the Group's sustainability agenda, commitments and issues are discussed, approved and implemented.
sustainable Palm oil Policy (""sPoP"")The IOI SPOP is the keystone policy to maintain the Group's commitment to the sustainable management of oil palm plantations and to the mplementation of responsible, global palm oil supply chains.
United nations sustainable development goals (""Un sdgs"")The 17 SDGs by the UN are the blueprint to achieve a better and more sustainable future for all. They address the global challenges we face, including those related to poverty, inequality, climate, environmental degradation, prosperity, and peace and justice.APPENDIX  ","['1 An individual who performs work for entity which provide services to IOI', 'Health and safety Performance -employee ', 'Biochemical oxygen demand is the amount of dissolved oxygen needed by aerobic biological organisms to break down organic material present in a given water sample at certain temperature over a specific time period.', 'CO 2 -e is a measure used to compare the emissions from various greenhouse gases based upon their global warming potential.', 'carbon disclosure Project (""cdP"") The CDP is an organisation based in the United Kingdom which supports companies and cities to disclose the environmental impact of major corporations.', 'Chemical oxygen demand is an indicative measure of the amount of oxygen that can be consumed by reactions in a measured solution. It is commonly expressed in mass of oxygen consumed over volume of solution which in SI units is milligrams per litre (mg/L).', 'IOI\'s Climate Change Action (""CCA"") Initiative is IOI\'s long-term action-plans to mitigate and reduce GHG emissions from our diverse operations. The ultimate aim of this initiative is to achieve carbon neutral as a group.', 'crude Palm oil (""cPo"") First stage palm oil product produced from fresh fruit bunches (""FFB"") at a mill.', 'The Dow Jones Sustainability Indices (DJSI) launched in 1999, are a family of indices evaluating the sustainability performance of thousands of companies trading publicly, operated under a strategic partnership between S&P Dow Jones Indices and RobecoSAM (Sustainable Asset Management) of the S&P Dow Jones Indices. The DJSI is based on an analysis of corporate economic, environmental and social performance, assessing issues such as corporate governance, risk management, branding, climate change mitigation, supply chain standards and labour practices.', 'empty Fruit bunches (""eFb"") Remains of the fresh fruit bunches after the fruit has been removed for oil pressing.', 'Free, Prior and Informed Consent (FPIC) is a specific right that pertains to indigenous peoples and is recognised in the United Nations Declaration on the Rights of Indigenous Peoples (UNDRIP). It allows them to give or withhold consent to a project that may affect them or their territories.', 'Fresh Fruit bunches (""FFb"") Bunches harvested from the oil palm tree.', 'A genetically modified organism is any organism whose genetic material has been altered using genetic engineering techniques.', 'GFW is an interactive online forest monitoring and alert system designed to empower people everywhere with the information they need to better manage and conserve forest landscapes.', 'GRI is an international independent organisation that helps businesses, governments and other organisations understand and communicate the impact of business on critical sustainability issues such as climate change, human rights, corruption and many others.', 'The HCS Approach is a methodology that distinguishes forest areas for protection from degraded lands with low carbon and biodiversity values that may be developed. The methodology was developed with the aim to ensure a practical, transparent, robust, and scientifically credible approach that is widely accepted to implement commitments to halt deforestation in the tropics, while ensuring the rights and livelihoods of local peoples are respected.', 'As defined by the HCV Resource Network, HCVs are biological, ecological, social or cultural values which are outstandingly significant or critically important at the national, regional or global level.', 'IPM is the careful consideration of all available pest control techniques and subsequent integration of appropriate measures that discourage the development of pest populations and keep pesticides and other interventions to levels that are economically justified and reduce or minimise risks to human health and the environment. IPM emphasises the growth of a healthy crop with the least possible disruption to agro-ecosystems and encourages natural pest control mechanisms.', 'The Intergovernmental Panel on Climate Change (IPCC) is an intergovernmental body of the United Nations that is dedicated to providing the world with objective, scientific information relevant to understanding the scientific basis of the risk of human-induced climate change, its natural, political, and economic impacts and risks, and possible response options.', 'ILO is the United Nations agency for the world of work. It sets international Labour standards, promotes rights at work and encourages decent employment opportunities, the enhancement of social protection and the strengthening of dialogue on work-related issues.', 'ISCC is an independent multi-stakeholder organisation providing a globally applicable certification system for the sustainability of raw materials and products.', 'The Malaysian Palm Oil Board is a government agency responsible for the promotion and development of the palm oil industry in Malaysia.', 'The MSPO Certification Scheme is the national scheme in Malaysia for oil palm plantations, independent and organised smallholdings, and palm oil processing facilities to be certified against the requirements of the MSPO Standards.', 'Malaysian Palm Oil Certification Council (MPOCC) is an independent non-profit organisation established in December 2014 to develop and operate the Malaysian Sustainable Palm Oil (MSPO) Certification Scheme.', 'The MCO is a cordon sanitaire implemented as a preventive measure by the federal government of Malaysia in response to the COVID-19 pandemic in the country on 18 March 2020. The order was commonly referred to in local and international media as a ""lockdown"" or ""partial lockdown. ""', 'The National Council of Occupational Safety and Health (NCOSH) is the highest forum in the Ministry of Human Resources where tripartite discussions are held about issues related to the direction, national policy and the implementation of occupational safety and health in Malaysia.', 'national Union of Plantation Workers (""nUPW"")', 'The National Union of Plantation Workers (NUPW) is the largest union in Malaysia and one of the largest in Asia.', 'NGO is used in this report to refer to grassroots and campaigning organisations focused on environmental or social issues.', 'A chemical compound derived industrially from animal or vegetable oils or fats.', 'PK is the seed of any palm that yields palm-kernel oil.', 'PKO is a plant oil derived from the kernel of the oil palm.', 'Palm Oil Mill effluents (""POME"") Palm oil mill effluent (POME) is a wastewater generated from palm oil milling activities which requires effective treatment before discharge into watercourses due to its highly polluting properties.', 'An accumulation of partially decayed vegetation matter. Peat forms in wetlands or peat lands, variously called bogs, moors, muskegs, pocosins, mires, and peat swamp forests.', 'Reverse osmosis is a water purification process that uses a partially permeable membrane to remove ions, unwanted molecules and larger particles from drinking water.', 'A multi-stakeholder organisation based in Kuala Lumpur, Malaysia. The organisation has developed a certification scheme for sustainable palm oil.', 'Sustainable palm oil from certified sources is mixed with ordinary palm oil throughout supply chain.', 'Sustainable palm oil from different certified sources is kept separate from ordinary palm oil throughout supply chain.', 'The ACOPs are reports submitted by RSPO members to gauge their progress towards 100% RSPO-certified sustainable palm oil. These reports are mandatory for Ordinary and Affiliate members, and are submitted each year.', 'All direct GHGs emissions.', 'scope 2 emissions Indirect GHGs emissions for consumption of purchased electricity, heat or steam.', 'The IOI Sustainability Advisory Panel (""SAP"") was formed in January 2017 and tasked with overseeing the application of IOI Group\'s Sustainability Implementation Plan (""SIP""). The SAP also advises on sustainability issues raised by multi-stakeholders including NGOs and the RSPO.', 'sustainability Implementation Plan (""sIP"") IOI\'s SIP serves as a practical working document that puts into practice the goals and commitments stated in the IOI Sustainable Palm Oil Policy.', 'SPOTT is an online platform supporting sustainable commodity production and trade. By tracking transparency, SPOTT incentivises the implementation of corporate best practice.', ""The SSC, chaired by the GMD, heads of the operating divisions, Group Head of Sustainability and senior management from group support functions. The SSC assures that the Group's sustainability agenda, commitments and issues are discussed, approved and implemented."", ""The IOI SPOP is the keystone policy to maintain the Group's commitment to the sustainable management of oil palm plantations and to the mplementation of responsible, global palm oil supply chains."", 'The 17 SDGs by the UN are the blueprint to achieve a better and more sustainable future for all. They address the global challenges we face, including those related to poverty, inequality, climate, environmental degradation, prosperity, and peace and justice.', 'APPENDIX ']"
110,note:1 An individual who performs work for entity which provide services to IOI,['1 An individual who performs work for entity which provide services to IOI']
111,IoI corporation divisionHealth and safety Performance -employee ,['Health and safety Performance -employee ']
112,"GlossaRY biological oxygen demand (""bod"")Biochemical oxygen demand is the amount of dissolved oxygen needed by aerobic biological organisms to break down organic material present in a given water sample at certain temperature over a specific time period.",['Biochemical oxygen demand is the amount of dissolved oxygen needed by aerobic biological organisms to break down organic material present in a given water sample at certain temperature over a specific time period.']
113,"carbon dioxide equivalents (""co 2 -e"")CO 2 -e is a measure used to compare the emissions from various greenhouse gases based upon their global warming potential.carbon disclosure Project (""cdP"") The CDP is an organisation based in the United Kingdom which supports companies and cities to disclose the environmental impact of major corporations.","['CO 2 -e is a measure used to compare the emissions from various greenhouse gases based upon their global warming potential.', 'carbon disclosure Project (""cdP"") The CDP is an organisation based in the United Kingdom which supports companies and cities to disclose the environmental impact of major corporations.']"
114,"chemical oxygen demand (""cod"")Chemical oxygen demand is an indicative measure of the amount of oxygen that can be consumed by reactions in a measured solution. It is commonly expressed in mass of oxygen consumed over volume of solution which in SI units is milligrams per litre (mg/L).",['Chemical oxygen demand is an indicative measure of the amount of oxygen that can be consumed by reactions in a measured solution. It is commonly expressed in mass of oxygen consumed over volume of solution which in SI units is milligrams per litre (mg/L).']
115,"climate change action (""cca"") InitiativesIOI's Climate Change Action (""CCA"") Initiative is IOI's long-term action-plans to mitigate and reduce GHG emissions from our diverse operations. The ultimate aim of this initiative is to achieve carbon neutral as a group.crude Palm oil (""cPo"") First stage palm oil product produced from fresh fruit bunches (""FFB"") at a mill.","['IOI\'s Climate Change Action (""CCA"") Initiative is IOI\'s long-term action-plans to mitigate and reduce GHG emissions from our diverse operations. The ultimate aim of this initiative is to achieve carbon neutral as a group.', 'crude Palm oil (""cPo"") First stage palm oil product produced from fresh fruit bunches (""FFB"") at a mill.']"
116,"dow Jones sustainability Indices (""dJsI"") assessmentThe Dow Jones Sustainability Indices (DJSI) launched in 1999, are a family of indices evaluating the sustainability performance of thousands of companies trading publicly, operated under a strategic partnership between S&P Dow Jones Indices and RobecoSAM (Sustainable Asset Management) of the S&P Dow Jones Indices. The DJSI is based on an analysis of corporate economic, environmental and social performance, assessing issues such as corporate governance, risk management, branding, climate change mitigation, supply chain standards and labour practices.empty Fruit bunches (""eFb"") Remains of the fresh fruit bunches after the fruit has been removed for oil pressing.","['The Dow Jones Sustainability Indices (DJSI) launched in 1999, are a family of indices evaluating the sustainability performance of thousands of companies trading publicly, operated under a strategic partnership between S&P Dow Jones Indices and RobecoSAM (Sustainable Asset Management) of the S&P Dow Jones Indices. The DJSI is based on an analysis of corporate economic, environmental and social performance, assessing issues such as corporate governance, risk management, branding, climate change mitigation, supply chain standards and labour practices.', 'empty Fruit bunches (""eFb"") Remains of the fresh fruit bunches after the fruit has been removed for oil pressing.']"
117,"Free, Prior and Informed consent (""FPIc"") principleFree, Prior and Informed Consent (FPIC) is a specific right that pertains to indigenous peoples and is recognised in the United Nations Declaration on the Rights of Indigenous Peoples (UNDRIP). It allows them to give or withhold consent to a project that may affect them or their territories.Fresh Fruit bunches (""FFb"") Bunches harvested from the oil palm tree.","['Free, Prior and Informed Consent (FPIC) is a specific right that pertains to indigenous peoples and is recognised in the United Nations Declaration on the Rights of Indigenous Peoples (UNDRIP). It allows them to give or withhold consent to a project that may affect them or their territories.', 'Fresh Fruit bunches (""FFb"") Bunches harvested from the oil palm tree.']"
118,"Genetically Modified Organism (""Gmo"")A genetically modified organism is any organism whose genetic material has been altered using genetic engineering techniques.",['A genetically modified organism is any organism whose genetic material has been altered using genetic engineering techniques.']
119,"Global Forest Watch (""GFW"")GFW is an interactive online forest monitoring and alert system designed to empower people everywhere with the information they need to better manage and conserve forest landscapes.",['GFW is an interactive online forest monitoring and alert system designed to empower people everywhere with the information they need to better manage and conserve forest landscapes.']
120,"Global Reporting Initiative (""GRI"")GRI is an international independent organisation that helps businesses, governments and other organisations understand and communicate the impact of business on critical sustainability issues such as climate change, human rights, corruption and many others.","['GRI is an international independent organisation that helps businesses, governments and other organisations understand and communicate the impact of business on critical sustainability issues such as climate change, human rights, corruption and many others.']"
121,"High carbon stock approach (""Hcsa"")The HCS Approach is a methodology that distinguishes forest areas for protection from degraded lands with low carbon and biodiversity values that may be developed. The methodology was developed with the aim to ensure a practical, transparent, robust, and scientifically credible approach that is widely accepted to implement commitments to halt deforestation in the tropics, while ensuring the rights and livelihoods of local peoples are respected.","['The HCS Approach is a methodology that distinguishes forest areas for protection from degraded lands with low carbon and biodiversity values that may be developed. The methodology was developed with the aim to ensure a practical, transparent, robust, and scientifically credible approach that is widely accepted to implement commitments to halt deforestation in the tropics, while ensuring the rights and livelihoods of local peoples are respected.']"
122,"High conservation values (""Hcv"")As defined by the HCV Resource Network, HCVs are biological, ecological, social or cultural values which are outstandingly significant or critically important at the national, regional or global level.","['As defined by the HCV Resource Network, HCVs are biological, ecological, social or cultural values which are outstandingly significant or critically important at the national, regional or global level.']"
123,"Integrated Pest management (""IPm"")IPM is the careful consideration of all available pest control techniques and subsequent integration of appropriate measures that discourage the development of pest populations and keep pesticides and other interventions to levels that are economically justified and reduce or minimise risks to human health and the environment. IPM emphasises the growth of a healthy crop with the least possible disruption to agro-ecosystems and encourages natural pest control mechanisms.",['IPM is the careful consideration of all available pest control techniques and subsequent integration of appropriate measures that discourage the development of pest populations and keep pesticides and other interventions to levels that are economically justified and reduce or minimise risks to human health and the environment. IPM emphasises the growth of a healthy crop with the least possible disruption to agro-ecosystems and encourages natural pest control mechanisms.']
124,"Intergovernmental Panel on climate change's (""IPcc"")The Intergovernmental Panel on Climate Change (IPCC) is an intergovernmental body of the United Nations that is dedicated to providing the world with objective, scientific information relevant to understanding the scientific basis of the risk of human-induced climate change, its natural, political, and economic impacts and risks, and possible response options.","['The Intergovernmental Panel on Climate Change (IPCC) is an intergovernmental body of the United Nations that is dedicated to providing the world with objective, scientific information relevant to understanding the scientific basis of the risk of human-induced climate change, its natural, political, and economic impacts and risks, and possible response options.']"
125,"International labor organisation (""Ilo"")ILO is the United Nations agency for the world of work. It sets international Labour standards, promotes rights at work and encourages decent employment opportunities, the enhancement of social protection and the strengthening of dialogue on work-related issues.","['ILO is the United Nations agency for the world of work. It sets international Labour standards, promotes rights at work and encourages decent employment opportunities, the enhancement of social protection and the strengthening of dialogue on work-related issues.']"
126,"International sustainability & Carbon Certification (""ISCC"")ISCC is an independent multi-stakeholder organisation providing a globally applicable certification system for the sustainability of raw materials and products.",['ISCC is an independent multi-stakeholder organisation providing a globally applicable certification system for the sustainability of raw materials and products.']
127,"malaysian Palm oil board (""mPob"")The Malaysian Palm Oil Board is a government agency responsible for the promotion and development of the palm oil industry in Malaysia.",['The Malaysian Palm Oil Board is a government agency responsible for the promotion and development of the palm oil industry in Malaysia.']
